prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
11125104,A0111,非参数统计的理论及应用,林华珍,西南财经大学,140,2012-01至2015-12
21125103,B010205,无机化学,李彦,北京大学,200,2012-01至2015-12
61125106,F0104,光学影像处理与模式识别,李学龙,中国科学院西安光学精密机械研究所,200,2012-01至2015-12
51125030,E0803,降低需求的营造方法与节能高效的冷热设备系统,李先庭,清华大学,200,2012-01至2015-12
31125014,C090201,视觉认知与学习的脑机制,李武,北京师范大学,200,2012-01至2015-12
31125025,C040604,保幼激素和蜕皮激素协同调控昆虫变态发育的分子机制,李胜,中国科学院上海生命科学研究院,200,2012-01至2015-12
51125028,E0708,脑深部电刺激方法研究,李路明,清华大学,200,2012-01至2015-12
81125023,H3107,代谢性疾病药物药理学,李佳,中国科学院上海药物研究所,200,2012-01至2015-12
11125525,A050202,粒子物理实验,李海波,中国科学院高能物理研究所,200,2012-01至2015-12
31125020,C130506,棉花高频再生性状的遗传与应用研究,李付广,中国农业科学院棉花研究所,200,2012-01至2015-12
11125420,A040502,深海与过渡海区声场相干特性及其应用研究,李风华,中国科学院声学研究所,200,2012-01至2015-12
61125101,F0122,真空计量学,李得天,兰州空间技术物理研究所,200,2012-01至2015-12
61125206,F0207,视频、遥感图像的处理与传输,李波,北京航空航天大学,200,2012-01至2015-12
31125005,C020303,植物进化与发育,孔宏智,中国科学院植物研究所,200,2012-01至2015-12
81125015,H1601,肿瘤学（肿瘤病因）,康铁邦,中山大学,200,2012-01至2015-12
51125017,E0404,矿山岩体分形重构与能量灾变理论,鞠杨,中国矿业大学（北京）,200,2012-01至2015-12
31125011,C0507,RNA可变剪接和编辑研究,金勇丰,浙江大学,200,2012-01至2015-12
31125016,C060705,发展计算与系统生物学方法研究流感传播传染规律及其分子机理,蒋太交,中国科学院生物物理研究所,200,2012-01至2015-12
81125013,H0602,运动系统遗传性疾病,蒋青,南京大学,200,2012-01至2015-12
21125627,B080703,仿生与生物启发下的膜和膜过程,姜忠义,天津大学,200,2012-01至2015-12
31125023,C140601,真菌病毒与生物防治,姜道宏,华中农业大学,200,2012-01至2015-12
21125205,B0106,超分子有机化学,江华,北京师范大学,200,2012-01至2015-12
31125004,C020101,植物细胞骨架结构与功能,黄善金,中国科学院植物研究所,200,2012-01至2015-12
51125036,E0902,土壤水、地下水与溶质运移理论,黄冠华,中国农业大学,200,2012-01至2015-12
61125203,F0209,多媒体计算,何晓飞,浙江大学,200,2012-01至2015-12
81125016,H1602,肿瘤分子生物学,何祥火,上海交通大学,200,2012-01至2015-12
81125007,H12,眼科学,何明光,中山大学,200,2012-01至2015-12
51125024,E0605,多相流体动力学多场耦合和尺度关联的介观理论和模型,郭照立,华中科技大学,200,2012-01至2015-12
31125024,C1501,柑橘种质创新与遗传改良,郭文武,华中农业大学,200,2012-01至2015-12
11125210,A020316,实验固体力学,龚兴龙,中国科学技术大学,200,2012-01至2015-12
61125103,F0122,Ka波段带状束行波放大器的理论与实验研究,宫玉彬,电子科技大学,200,2012-01至2015-12
21125311,B0301,理论化学,高毅勤,北京大学,200,2012-01至2015-12
81125024,H2705,中医方剂,高秀梅,天津中医药大学,200,2012-01至2015-12
61125204,F0210,多媒体信息处理与分析,高新波,西安电子科技大学,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
11125211,A020308,微尺度塑性与表面/界面力学,陈少华,中国科学院力学研究所,200,2012-01至2015-12
41125020,D0602,同位素海洋化学研究,陈敏,厦门大学,200,2012-01至2015-12
61125304,F0307,脑功能模式识别方法及应用研究,陈华富,电子科技大学,200,2012-01至2015-12
21125418,B050202,生物医用高分子,陈红,苏州大学,200,2012-01至2015-12
11125103,A010704,动力系统,曹永罗,苏州大学,140,2012-01至2015-12
61125105,F0123,敏感电子学,蔡新霞,中国科学院电子学研究所,200,2012-01至2015-12
41125009,D0207,含油气盆地硫参与的有机-无机相互作用,蔡春芳,中国科学院地质与地球物理研究所,200,2012-01至2015-12
41125015,D0402,地震学,艾印双,中国科学院地质与地球物理研究所,200,2012-01至2015-12
�,陈焕文,东华理工大学,200,2013-01至2016-12
51225202,E0205,介孔结构纳米复合材料与性能研究,陈航榕,中国科学院上海硅酸盐研究所,200,2013-01至2016-12
21225627,B080205,微化学工程与技术,陈光文,中国科学院大连化学物理研究所,200,2013-01至2016-12
31225019,C130501,农学基础与作物学,陈凡,中国科学院遗传与发育生物学研究所,200,2013-01至2016-12
31225012,C1113,生理学与整合生物学（细胞代谢与自由基）,陈畅,中国科学院生物物理研究所,200,2013-01至2016-12
61225001,F0118,新型微波电路理论与技术,车文荃,南京理工大学,200,2013-01至2016-12
11225525,A050508,反应堆中微子物理研究,曹俊,中国科学院高能物理研究所,200,2013-01至2016-12
21225104,B01,无机固体材料,陈玲,北京师范大学,200,2013-01至2016-12
21225418,B050205,高分子光电器件界面修饰相关新型高分子材料结构设计与性能研究,陈军武,华南理工大学,200,2013-01至2016-12
21225522,B040303,复杂基体样品直接质谱分析方法研究,陈焕文,东华理工大学,200,2013-01至2016-12
51225202,E0205,介孔结构纳米复合材料与性能研究,陈航榕,中国科学院上海硅酸盐研究所,200,2013-01至2016-12
21225627,B080205,微化学工程与技术,陈光文,中国科学院大连化学物理研究所,200,2013-01至2016-12
31225019,C130501,农学基础与作物学,陈凡,中国科学院遗传与发育生物学研究所,200,2013-01至2016-12
31225012,C1113,生理学与整合生物学（细胞代谢与自由基）,陈畅,中国科学院生物物理研究所,200,2013-01至2016-12
61225001,F0118,新型微波电路理论与技术,车文荃,南京理工大学,200,2013-01至2016-12
11225525,A050508,反应堆中微子物理研究,曹俊,中国科学院高能物理研究所,200,2013-01至2016-12
21225104,B01,无机固体材料,陈玲,北京师范大学,200,2013-01至2016-12
21225418,B050205,高分子光电器件界面修饰相关新型高分子材料结构设计与性能研究,陈军武,华南理工大学,200,2013-01至2016-12
21225522,B040303,复杂基体样品直接质谱分析方法研究,陈焕文,东华理工大学,200,2013-01至2016-12
51225202,E0205,介孔结构纳米复合材料与性能研究,陈航榕,中国科学院上海硅酸盐研究所,200,2013-01至2016-12
21225627,B080205,微化学工程与技术,陈光文,中国科学院大连化学物理研究所,200,2013-01至2016-12
31225019,C130501,农学基础与作物学,陈凡,中国科学院遗传与发育生物学研究所,200,2013-01至2016-12
31225012,C1113,生理学与整合生物学（细胞代谢与自由基）,陈畅,中国科学院生物物理研究所,200,2013-01至2016-12
61225001,F0118,新型微波电路理论与技术,车文荃,南京理工大学,200,2013-01至2016-12
11225525,A050508,反应堆中微子物理研究,曹俊,中国科学院高能物理研究所,200,2013-01至2016-12
