prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
11926319,A011701,分数阶泊松方程的建模和计算,李常品,上海大学,20,2020-01至2020-12
11926314,A010401,“计算拓扑”专题讲习班,雷逢春,大连理工大学,20,2019-06至2019-12
11926419,A0114,数理医学专题讲习班,孔德兴,浙江大学,20,2020-03至2020-12
11926311,A01,民族高校和中西部高校研究生非线性分析讲习班,康东升,中南民族大学,20,2020-01至2020-12
11926329,A011403,基于接触网络的结核病传播动力学研究,靳祯,山西大学,20,2020-01至2020-12
11926318,A0112,交通运筹与优化专题高级讲习班,蒋建林,南京航空航天大学,20,2019-07至2019-12
11926503,A0103,分形简史,江南,西安石油大学,7,2020-01至2020-12
11926201,A010502,天元数学交流项目-复动力系统与复方程国际研讨会,黄志波,华南师范大学,29,2020-01至2020-12
11926317,A010802,Minkwoski问题及其相关Monge-Ampere方程专题研讨班,黄勇,湖南大学,20,2020-01至2020-12
11926310,A011202,现代物流中的组合优化问题模型与算法及其最新进展,胡觉亮,浙江理工大学,20,2019-07至2020-12
11926417,A011701,随机偏微分方程保结构算法高级研讨班,洪佳林,中国科学院数学与系统科学研究院,20,2019-09至2020-02
11926332,A010802,带非局部项的薛定谔方程组正解的存在性及其性态研究,何其涵,广西大学,10,2020-01至2020-12
11926415,A010102,GL_2(Z_p)和GL_3(Z_p)的pro-p Iwahori子群的Iwasawa代数的正规元素,韩栋,河南理工大学,20,2020-01至2020-12
11926358,A011201,基于分式模型的信赖域优化算法研究,韩德仁,北京航空航天大学,20,2020-01至2020-12
11926322,A010702,非局部随机系统的平均化原理,郭仲凯,中南民族大学,10,2020-01至2020-12
11926502,A01,“推动数学发展的平台--数学天元基金三十年”文集,郭蔚,河北师范大学,20,2019-08至2019-12
11926402,A01,数学文化概论,葛照强,西安交通大学,12,2020-01至2020-12
11926345,A0116,有限域上的置换多项式和组合零点定理的应用 ,高维东,南开大学,20,2020-01至2020-12
11926403,A01,中国现代数学历史照片整理与研究,付晓青,山东大学,7,2020-01至2020-12
11926307,A010301,子流形几何与曲率流,丁青,复旦大学,20,2019-04至2020-12
11926302,A010601,非线性泛函分析及其应用天元数学专题讲习班,丁凌,湖北文理学院,20,2020-01至2020-12
11926320,A010802,带非局部项的薛定谔方程组正解的存在性及其性态研究,邓引斌,华中师范大学,20,2020-01至2020-12
11926306,A010301,黎曼-芬斯勒几何专题讲习班,程新跃,重庆师范大学,20,2020-01至2020-12
11926330,A010201,关于Brauer特征标数量性质的研究,陈晓友,河南工业大学,10,2020-01至2020-12
11926309,A010701,泛函微分方程及其应用--天元数学专题讲习班,陈福来,湘南学院,20,2019-06至2019-12
11926328,A011403,基于接触网络的结核病传播动力学研究,曹慧,陕西科技大学,10,2020-01至2020-12
11926413,A01,西藏地区藏汉双语数学教学中的语言问题研究,巴桑卓玛,西藏大学,20,2020-01至2020-12
